LGA Name,LGA Code,Gcc Name21,Sa4 Name21,Sa4 Code21,Sa3 Code21,Sa3 Name21
Albury (C),10050,Rest of NSW,Murray,109,10901,Albury
Albury (C),10050,Rest of NSW,Murray,109,10902,Lower Murray
Albury (C),10050,Rest of NSW,Murray,109,10903,Upper Murray exc. Albury
Armidale Regional (A),10180,Rest of NSW,New England and North West,110,11001,Armidale
Armidale Regional (A),10180,Rest of NSW,New England and North West,110,11002,Inverell - Tenterfield
Armidale Regional (A),10180,Rest of NSW,New England and North West,110,11003,Moree - Narrabri
Armidale Regional (A),10180,Rest of NSW,New England and North West,110,11004,Tamworth - Gunnedah
Ballina (A),10250,Rest of NSW,Richmond - Tweed,112,11201,Richmond Valley - Coastal
Ballina (A),10250,Rest of NSW,Richmond - Tweed,112,11202,Richmond Valley - Hinterland
Ballina (A),10250,Rest of NSW,Richmond - Tweed,112,11203,Tweed Valley
Balranald (A),10300,Rest of NSW,Murray,109,10901,Albury
Balranald (A),10300,Rest of NSW,Murray,109,10902,Lower Murray
Balranald (A),10300,Rest of NSW,Murray,109,10903,Upper Murray exc. Albury
Bathurst Regional (A),10470,Rest of NSW,Central West,103,10301,Bathurst
Bathurst Regional (A),10470,Rest of NSW,Central West,103,10302,Lachlan Valley
Bathurst Regional (A),10470,Rest of NSW,Central West,103,10303,Lithgow - Mudgee
Bathurst Regional (A),10470,Rest of NSW,Central West,103,10304,Orange
Bayside (A),10500,Greater Sydney,Sydney - Inner South West,119,11901,Bankstown
Bayside (A),10500,Greater Sydney,Sydney - Inner South West,119,11902,Canterbury
Bayside (A),10500,Greater Sydney,Sydney - Inner South West,119,11903,Hurstville
Bayside (A),10500,Greater Sydney,Sydney - Inner South West,119,11904,Kogarah - Rockdale
Bega Valley (A),10550,Rest of NSW,Capital Region,101,10102,Queanbeyan
Bega Valley (A),10550,Rest of NSW,Capital Region,101,10103,Snowy Mountains
Bega Valley (A),10550,Rest of NSW,Capital Region,101,10104,South Coast
Bega Valley (A),10550,Rest of NSW,Capital Region,101,10105,Goulburn - Mulwaree
Bega Valley (A),10550,Rest of NSW,Capital Region,101,10106,Young - Yass
Bellingen (A),10600,Rest of NSW,Coffs Harbour - Grafton,104,10401,Clarence Valley
Bellingen (A),10600,Rest of NSW,Coffs Harbour - Grafton,104,10402,Coffs Harbour
Berrigan (A),10650,Rest of NSW,Murray,109,10901,Albury
Berrigan (A),10650,Rest of NSW,Murray,109,10902,Lower Murray
Berrigan (A),10650,Rest of NSW,Murray,109,10903,Upper Murray exc. Albury
Blacktown (C),10750,Greater Sydney,Sydney - Blacktown,116,11601,Blacktown
Blacktown (C),10750,Greater Sydney,Sydney - Blacktown,116,11602,Blacktown - North
Blacktown (C),10750,Greater Sydney,Sydney - Blacktown,116,11603,Mount Druitt
Bland (A),10800,Rest of NSW,Central West,103,10301,Bathurst
Bland (A),10800,Rest of NSW,Central West,103,10302,Lachlan Valley
Bland (A),10800,Rest of NSW,Central West,103,10303,Lithgow - Mudgee
Bland (A),10800,Rest of NSW,Central West,103,10304,Orange
Blayney (A),10850,Rest of NSW,Central West,103,10301,Bathurst
Blayney (A),10850,Rest of NSW,Central West,103,10302,Lachlan Valley
Blayney (A),10850,Rest of NSW,Central West,103,10303,Lithgow - Mudgee
Blayney (A),10850,Rest of NSW,Central West,103,10304,Orange
Blue Mountains (C),10900,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12401,Blue Mountains
Blue Mountains (C),10900,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12402,Blue Mountains - South
Blue Mountains (C),10900,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12403,Penrith
Blue Mountains (C),10900,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12404,Richmond - Windsor
Blue Mountains (C),10900,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12405,St Marys
Bogan (A),10950,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Bogan (A),10950,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Bogan (A),10950,Rest of NSW,Far West and Orana,105,10503,Dubbo
Bourke (A),11150,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Bourke (A),11150,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Bourke (A),11150,Rest of NSW,Far West and Orana,105,10503,Dubbo
Brewarrina (A),11200,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Brewarrina (A),11200,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Brewarrina (A),11200,Rest of NSW,Far West and Orana,105,10503,Dubbo
Broken Hill (C),11250,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Broken Hill (C),11250,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Broken Hill (C),11250,Rest of NSW,Far West and Orana,105,10503,Dubbo
Burwood (A),11300,Greater Sydney,Sydney - Inner West,120,12001,Canada Bay
Burwood (A),11300,Greater Sydney,Sydney - Inner West,120,12002,Leichhardt
Burwood (A),11300,Greater Sydney,Sydney - Inner West,120,12003,Strathfield - Burwood - Ashfield
Byron (A),11350,Rest of NSW,Richmond - Tweed,112,11201,Richmond Valley - Coastal
Byron (A),11350,Rest of NSW,Richmond - Tweed,112,11202,Richmond Valley - Hinterland
Byron (A),11350,Rest of NSW,Richmond - Tweed,112,11203,Tweed Valley
Cabonne (A),11400,Rest of NSW,Central West,103,10301,Bathurst
Cabonne (A),11400,Rest of NSW,Central West,103,10302,Lachlan Valley
Cabonne (A),11400,Rest of NSW,Central West,103,10303,Lithgow - Mudgee
Cabonne (A),11400,Rest of NSW,Central West,103,10304,Orange
Camden (A),11450,Greater Sydney,Sydney - South West,127,12701,Bringelly - Green Valley
Camden (A),11450,Greater Sydney,Sydney - South West,127,12702,Fairfield
Camden (A),11450,Greater Sydney,Sydney - South West,127,12703,Liverpool
Campbelltown (C) (NSW),11500,Greater Sydney,Sydney - Outer South West,123,12301,Camden
Campbelltown (C) (NSW),11500,Greater Sydney,Sydney - Outer South West,123,12302,Campbelltown (NSW)
Campbelltown (C) (NSW),11500,Greater Sydney,Sydney - Outer South West,123,12303,Wollondilly
Canada Bay (A),11520,Greater Sydney,Sydney - Inner West,120,12001,Canada Bay
Canada Bay (A),11520,Greater Sydney,Sydney - Inner West,120,12002,Leichhardt
Canada Bay (A),11520,Greater Sydney,Sydney - Inner West,120,12003,Strathfield - Burwood - Ashfield
Canterbury-Bankstown (A),11570,Greater Sydney,Sydney - Inner South West,119,11901,Bankstown
Canterbury-Bankstown (A),11570,Greater Sydney,Sydney - Inner South West,119,11902,Canterbury
Canterbury-Bankstown (A),11570,Greater Sydney,Sydney - Inner South West,119,11903,Hurstville
Canterbury-Bankstown (A),11570,Greater Sydney,Sydney - Inner South West,119,11904,Kogarah - Rockdale
Carrathool (A),11600,Rest of NSW,Riverina,113,11301,Griffith - Murrumbidgee (West)
Carrathool (A),11600,Rest of NSW,Riverina,113,11302,Tumut - Tumbarumba
Carrathool (A),11600,Rest of NSW,Riverina,113,11303,Wagga Wagga
Central Coast (C) (NSW),11650,Rest of NSW,Capital Region,101,10102,Queanbeyan
Central Coast (C) (NSW),11650,Rest of NSW,Capital Region,101,10103,Snowy Mountains
Central Coast (C) (NSW),11650,Rest of NSW,Capital Region,101,10104,South Coast
Central Coast (C) (NSW),11650,Rest of NSW,Capital Region,101,10105,Goulburn - Mulwaree
Central Coast (C) (NSW),11650,Rest of NSW,Capital Region,101,10106,Young - Yass
Central Darling (A),11700,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Central Darling (A),11700,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Central Darling (A),11700,Rest of NSW,Far West and Orana,105,10503,Dubbo
Cessnock (C),11720,Rest of NSW,Hunter Valley exc Newcastle,106,10601,Lower Hunter
Cessnock (C),11720,Rest of NSW,Hunter Valley exc Newcastle,106,10602,Maitland
Cessnock (C),11720,Rest of NSW,Hunter Valley exc Newcastle,106,10603,Port Stephens
Cessnock (C),11720,Rest of NSW,Hunter Valley exc Newcastle,106,10604,Upper Hunter
Clarence Valley (A),11730,Rest of NSW,Coffs Harbour - Grafton,104,10401,Clarence Valley
